lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo
37.681612,127.054635,24.08.16.,은빛1단지,34000,1998,1391,7호선,수락산역,402.0,59.95,"남향 내부올수리 로얄동,층 지하주차0 생활인프라굿","['25년이상', '올수리', '역세권', '대단지']",복도식,0.56,11,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1255&service=opensearch,https://fin.land.naver.com/articles/2440239103
37.682121,127.052973,24.07.26.,은빛1단지,33000,1998,1391,7호선,수락산역,402.0,59.95,"7호선,남향,올수리,지하주차장,초중고,공항버스,유치원,각종편의시설좋음,","['25년이상', '융자금없는', '올수리', '대단지']",복도식,0.56,5,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1255&service=opensearch,https://fin.land.naver.com/articles/2436802202
37.681084,127.052805,24.08.13.,은빛1단지,35000,1998,1391,7호선,수락산역,402.0,59.95,남향 샷시까지전체올수리 입주협의,"['25년이상', '올수리', '역세권', '대단지']",복도식,0.56,12,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1255&service=opensearch,https://fin.land.naver.com/articles/2439749203
37.67966,127.053968,24.07.26.,은빛2단지,30000,1998,1313,7호선,수락산역,262.0,59.95,"남향,올수리,7호선,공항버스,초중고,지하주차장,은행,주민센터,구립유치원.","['25년이상', '융자금없는', '올수리', '역세권']",복도식,0.54,2,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1256&service=opensearch,https://fin.land.naver.com/articles/2436802824
37.681612,127.054635,24.08.12.,은빛1단지,32000,1998,1391,7호선,수락산역,402.0,59.92,"내부올수리집이며 채광좋은 남향집, 빠른입주도 가능해요.","['25년이상', '융자금없는', '올수리', '역세권']",복도식,0.56,6,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1255&service=opensearch,https://fin.land.naver.com/articles/2439582161
37.681562,127.052867,24.07.31.,은빛1단지,35000,1998,1391,7호선,수락산역,402.0,59.95,발코니샷시 교체 내부 올수리 남향 입주협의 가능,"['25년이상', '융자금없는', '올수리', '역세권']",복도식,0.56,13,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1255&service=opensearch,https://fin.land.naver.com/articles/2437589901
37.617624,127.021848,24.08.16.,현대성우(주상복합),35000,1998,216,우이신설,삼양사거리역,451.0,59.4,올수리 빠른입주가능 신혼부부강추,"['25년이상', '올수리', '역세권', '방세개']",복도식,1,8,17,동향,3,1,https://map.kakao.com/?q=서울시 강북구 미아동 561-2&service=opensearch,https://fin.land.naver.com/articles/2440324753
37.545888,126.833084,24.08.12.,초록,44000,1998,625,5호선,우장산역,471.0,59.34,"25p,올수리 남향","['25년이상', '융자금없는', '올수리', '방세개']",복도식,0.67,3,10,남향,3,1,https://map.kakao.com/?q=서울시 강서구 화곡동 1139&service=opensearch,https://fin.land.naver.com/articles/2439701073
37.623949,127.078962,24.08.16.,대아(740),37000,1997,130,6호선,화랑대역,779.0,59.75,남향. 올수리. 10월협의,"['25년이상', '올수리', '방세개', '화장실한개']",복도식,1.07,6,14,남향,3,1,https://map.kakao.com/?q=서울시 노원구 공릉동 740&service=opensearch,https://fin.land.naver.com/articles/2440353119
37.623949,127.078962,24.07.25.,대아(740),36000,1997,130,6호선,화랑대역,779.0,59.75,올수리된남향집입니다,"['25년이상', '올수리', '방세개', '화장실한개']",복도식,1.07,중,14,남향,3,1,https://map.kakao.com/?q=서울시 노원구 공릉동 740&service=opensearch,https://fin.land.naver.com/articles/2436492403
37.65756,127.04949,24.08.16.,동아청솔,36000,1997,1981,1호선,창동역,701.0,59.76,"전망좋은집, 샷시제외내부올수리됨. 전철역가까움. 방3 정상","['25년이상', '올수리', '대단지', '방세개']",복도식,1.16,18,20,동향,3,1,https://map.kakao.com/?q=서울시 도봉구 창동 808&service=opensearch,https://fin.land.naver.com/articles/2440320530
37.65697,127.07286,24.08.14.,염광,34000,1996,791,4호선,상계역,576.0,59.34,최근쌰시포함 올수리  중계초바로앞.  전세대출가능   빠른입주 대출남김,"['25년이상', '올수리', '방세개', '화장실한개']",복도식,1,10,26,남향,3,1,https://map.kakao.com/?q=서울시 노원구 중계동 445&service=opensearch,https://fin.land.naver.com/articles/2439946319
37.65697,127.07286,24.07.20.,염광,35000,1996,791,4호선,상계역,576.0,59.34,"올수리,냠향,은행사거리 학원가 인접","['25년이상', '올수리', '방세개', '화장실한개']",복도식,1,19,26,남향,3,1,https://map.kakao.com/?q=서울시 노원구 중계동 445&service=opensearch,https://fin.land.naver.com/articles/2435773736
37.67446,127.050395,24.08.05.,북부현대,28000,1996,105,7호선,수락산역,705.0,59.24,완벽올수리후 처음입주  수락산역 도보 7분 주차편함 조망좋음,"['25년이상', '올수리', '방세개', '화장실한개']",복도식,1,2,15,동향,3,1,https://map.kakao.com/?q=서울시 노원구 상계동 1273&service=opensearch,https://fin.land.naver.com/articles/2438177805
