lat,lng,atclCfmYmd,atclNm,market_price,year,household_count,subway_line,subway_name,subway_distance,spc2,atclFetrDesc,tagList,현관구조,parking_per_household,min_floor,max_floor,direction,rooms,bath_rooms,location,atclNo,dates
37.312407,127.091541,24.08.21.,진산마을성원상떼빌,35000,1997,1744,,,,59.99,12월중순이후 씽크대 신발장 하장실 올수리  초록전망,"['25년이상', '올수리', '대단지', '방세개']",계단식,0.99,3,20,남동향,3,1,https://map.kakao.com/?q=경기도 용인시 수지구 상현동 30&service=opensearch,https://fin.land.naver.com/articles/2441252135,['24.08.21.']
37.62953,127.04599,24.08.21.,월계극동,36000,1996,199,,,,80.28,앞이 막힘없이 전망이 좋은 아파트로 귀한 전세 매물입니다,"['25년이상', '융자금없는', '방세개', '화장실두개']",계단식,1,7,14,남서향,3,2,https://map.kakao.com/?q=서울시 노원구 월계동 803-1&service=opensearch,https://fin.land.naver.com/articles/2441233233,['24.08.21.']
37.334853,127.119021,24.08.21.,무지개12단지주공,34000,1995,905,,,,59.98,"올수리,조용하고 앞틔인 시원한 전망.초등학교 인접","['25년이상', '올수리', '방세개', '화장실두개']",계단식,1,3,20,동향,3,2,https://map.kakao.com/?q=경기도 성남시 분당구 구미동 212&service=opensearch,https://fin.land.naver.com/articles/2441151500,['24.08.21.']
37.643594,127.066652,24.08.21.,중계무지개,28000,1991,2433,7호선,중계역,166.0,59.26,"올수리,중계역,초중고,홈플러스,근린공원,종합병원10분이내","['25년이상', '올수리', '역세권', '대단지']",복도식,0.37,3,15,남향,3,1,https://map.kakao.com/?q=서울시 노원구 중계동 513&service=opensearch,https://fin.land.naver.com/articles/2441161057,['24.08.21.']
37.657711,127.024065,24.08.21.,우성1차,33000,1992,658,,,,84.69,올수리잘됨 앞이틔인집 지하주차장시설좋고 초당초정문옆,"['25년이상', '올수리', '방세개', '화장실두개']",계단식,1,8,12,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 방학동 507&service=opensearch,https://fin.land.naver.com/articles/2441140432,['24.08.21.']
37.335282,127.11852,24.08.21.,무지개12단지주공,34000,1995,905,,,,59.98,동향.수리깨끗.9말.싼매물,"['25년이상', '융자금없는', '방세개', '화장실한개']",복합식,10,4,25,남향,3,1,https://map.kakao.com/?q=경기도 성남시 분당구 구미동 212&service=opensearch,https://fin.land.naver.com/articles/2441094053,['24.08.21.']
37.3036,127.11103,24.08.22.,상떼빌구성역플랫폼시티,35000,2000,691,수인분당,구성역,948.0,84.86,융무 저렴전세 앞동 법화산뷰 GTX구성역더블역세권 입주일협의가능 초품아,"['25년이내', '방세개', '화장실두개', '중층']",계단식,1.62,중,20,동향,3,2,https://map.kakao.com/?q=경기도 용인시 기흥구 보정동 694&service=opensearch,https://fin.land.naver.com/articles/2441418688,['24.08.22.']
37.65514,127.03146,24.08.22.,쌍문미라보,35000,1995,142,,,,84.97,내부 올수리 되어 상태 깨끗하며 쾌적한 숲세권 조용한  집입니다.,"['25년이상', '올수리', '방세개', '화장실두개']",계단식,0.92,5,15,남동향,3,2,https://map.kakao.com/?q=서울시 도봉구 쌍문동 160&service=opensearch,https://fin.land.naver.com/articles/2441283271,['24.08.22.']
37.68549,127.0472,24.08.22.,도봉한신,35000,1995,2678,7호선,도봉산역,425.0,84.94,"깨끗관리,동간거리넓어서채광좋음,정상입주","['25년이상', '역세권', '대단지', '방세개']",계단식,0.91,4,17,남향,3,2,https://map.kakao.com/?q=서울시 도봉구 도봉동 30-1&service=opensearch,https://fin.land.naver.com/articles/2441355855,['24.08.22.']
37.408432,127.150602,24.08.22.,목련마을화성빌리지,35000,1994,224,,,,71.77,"올수리,하시입주가능,융자없음,","['25년이상', '융자금없는', '올수리', '방세개']",계단식,1,2,4,동향,3,1,https://map.kakao.com/?q=경기도 성남시 분당구 야탑동 185&service=opensearch,https://fin.land.naver.com/articles/2441513218,['24.08.22.']
